month,year,USDT_ARS_Parallel_sell_price,USDT_ARS_TradingView_open,USDT_ARS_TradingView_close,USDT_ARS_TradingView_high,USDT_ARS_TradingView_low,USDT_ARS_TradingView_volume,USD_ARS_Official_open,USD_ARS_Official_close,USD_ARS_Official_high,USD_ARS_Official_low
01,2022,211.71,,,,,,103.89,104.0,104.04,103.83
02,2022,213.5,,,,,,106.32,106.44,106.48,106.25
03,2022,201.68,,,,,,109.3,109.46,109.74,109.23
04,2022,199.47,,,,,,113.07,113.27,113.31,112.98
05,2022,204.3,,,,,,117.6,117.82,117.85,117.51
06,2022,218.07,,,,,,122.5,122.73,122.76,122.43
07,2022,290.48,,,,,,128.13,128.42,128.46,128.06
08,2022,292.18,,,,,,134.93,135.24,135.29,134.79
09,2022,281.36,,,,,,143.01,143.4,143.44,142.84
10,2022,287.89,,,,,,152.02,152.48,152.51,151.93
11,2022,301.62,,,,,,162.15,162.61,162.65,162.05
12,2022,327.7,,,,,,172.37,172.8,172.87,172.22
01,2023,368.36,,,,,,181.98,182.43,182.47,181.89
02,2023,377.85,,,,,,191.98,192.5,192.54,191.91
03,2023,381.86,,,,,,202.89,203.41,203.44,202.76
04,2023,424.71,,,,,,215.34,216.02,216.05,215.13
05,2023,481.04,448.61,479.43,482.52,428.96,121811.33,231.15,231.74,231.82,231.0
06,2023,489.7,479.42,496.19,505.07,477.55,233058.17,248.01,248.79,248.88,247.84
07,2023,518.71,497.38,540.53,542.28,492.2,316247.43,265.54,266.37,266.53,265.41
08,2023,672.14,540.27,766.16,796.35,537.0,431911.14,320.03,323.28,323.37,319.88
09,2023,738.52,765.73,807.29,820.84,705.5,402750.82,349.95,349.95,350.01,349.82
10,2023,944.05,805.37,881.11,1264.03,801.95,709014.5,349.95,349.95,350.04,349.78
11,2023,959.75,882.42,852.5,1100.7,809.94,785552.33,353.58,354.07,354.18,353.44
12,2023,986.58,855.21,989.85,1177.95,842.5,974254.74,636.52,657.64,657.79,636.41
01,2024,1156.14,989.8,1213.89,1303.15,970.0,1015452.79,817.86,818.65,818.7,817.84
02,2024,1112.89,1213.95,1038.4,1282.5,982.12,2106147.88,834.53,835.3,835.33,834.51
03,2024,1016.32,1038.4,1008.19,1092.45,965.0,4281542.62,848.83,849.54,851.4,846.81
04,2024,1018.25,1008.12,1073.47,1087.95,998.06,4044678.3,866.7,867.58,867.73,866.7
05,2024,1134.77,1074.27,1226.9,1279.5,1047.5,3817535.7,885.39,886.21,886.41,885.38
06,2024,1296.47,1226.86,1383.33,1387.49,1223.95,3233671.23,902.8,903.58,904.0,902.65
07,2024,1429.32,1382.78,1319.5,1466.5,1279.99,3434926.46,921.11,921.96,922.5,920.83
08,2024,1354.58,1319.0,1304.0,1425.0,1270.0,2811177.35,940.36,941.27,941.77,940.25
09,2024,1265.33,1304.0,1227.66,1310.0,1195.59,1944842.07,959.4,960.26,960.86,959.12
10,2024,1208.23,1227.58,1159.26,1241.26,1147.93,2309609.21,979.01,979.88,980.39,978.88
11,2024,1142.33,1159.2,1114.74,1184.5,1103.51,2809646.3,999.21,1000.21,1000.52,999.11
12,2024,1134.68,1114.4,1229.06,1235.25,1065.34,3948606.1,1019.75,1020.53,1020.86,1019.6
01,2025,1226.13,1229.26,1204.2,1237.65,1175.94,8277013.02,1041.23,1042.14,1042.45,1041.05
02,2025,1221.61,1204.83,1237.32,1244.35,1201.1,6753271.31,1056.7,1057.35,1057.66,1056.5
03,2025,1254.03,1236.46,1328.44,1339.86,1225.08,4335209.48,1066.85,1067.3,1067.62,1066.69
04,2025,1275.5,1325.83,1205.4,1394.89,1130.46,5263475.92,1119.46,1123.7,1131.43,1109.25
05,2025,1173.71,1203.95,,1215.0,1152.45,2544910.92,1148.19,1147.75,1151.75,1143.67
06,2025,,,,,,,,,,
