quarter,year,USDT_ARS_Parallel_sell_price,USDT_ARS_TradingView_open,USDT_ARS_TradingView_close,USDT_ARS_TradingView_high,USDT_ARS_TradingView_low,USDT_ARS_TradingView_volume,USD_ARS_Official_open,USD_ARS_Official_close,USD_ARS_Official_high,USD_ARS_Official_low
1,2022,208.93,,,,,,106.51,106.64,106.76,106.44
2,2022,207.42,,,,,,117.79,118.01,118.05,117.71
3,2022,287.97,,,,,,135.46,135.79,135.83,135.34
4,2022,305.97,,,,,,162.02,162.47,162.52,161.91
1,2023,375.97,,,,,,192.13,192.63,192.67,192.04
2,2023,467.97,,496.19,505.07,428.96,176522.89,232.02,232.7,232.77,231.84
3,2023,643.58,497.38,807.29,820.84,492.2,383428.7,312.09,313.51,313.61,311.95
4,2023,963.07,805.37,989.85,1264.03,801.95,823346.92,442.34,449.22,449.34,442.2
1,2024,1098.17,989.8,1008.19,1303.15,965.0,2475660.94,833.01,833.77,834.37,832.36
2,2024,1141.86,1008.12,1383.33,1387.49,998.06,3699935.08,884.42,885.25,885.5,884.37
3,2024,1340.99,1382.78,1227.66,1466.5,1195.59,2738853.05,939.71,940.58,941.13,939.49
4,2024,1161.96,1227.58,1229.06,1241.26,1065.34,3024935.48,999.03,999.91,1000.29,998.9
1,2025,1234.33,1229.26,1328.44,1339.86,1175.94,6445227.71,1054.68,1055.36,1055.67,1054.5
2,2025,1223.77,1325.83,,1394.89,1130.46,3904193.42,1133.17,1135.18,1141.13,1125.68
